# This file was automatically generated from the https://github.com/Belarus/GrammarDB
# data (Grammar Database of Belarusian language) using the RELEASE-202309 tag.
# Creative Commons Attribution-ShareAlike 4.0 International License.
#
# Uses UTF-8 format with U+0301 stress marks and U+2BC apostrophes. Each line lists
# a pair of alternative spelling variants of the same word delimited by '|'.
# Intended to be used by ebook dictionaries. If these two are not separate headwords
# in a dictionary, then it makes sense to link them together.
#
Ілья́|Ілля́
Індане́зія|Інданэ́зія
Іспа́нія|Гішпа́нія
Іярда́нія|Іарда́нія
Антве́рпен|Антвэ́рпэн
Анто́ніа|Анто́ніё
Аргенці́на|Аргенты́на
Аўгусці́н|Аўгусты́н
Бе́нджамін|Бе́нжамін
Бруне́й|Брунэ́й
Во́йцех|Во́йцэх
Гаспо́дзь|Го́спад
Герцагаві́на|Герцэгаві́на
Дзявя́тнік|Дзевя́тнік
Дзія́на|Дыя́на
Дняпро́|Дне́пр
Жамо́йція|Жамо́йтыя
Каля́ды|Ко́ляды
Ла́цыа|Ла́цыё
Лё́зна|Ліё́зна
Магаме́д|Магаме́т
Мо́рзэ|Мо́рзе
Мё́ры|Міё́ры
Мі́нск|Ме́нск
Навагру́дак|Нава́градак
Навапо́лацк|Навапо́лацак
Нейпʼідо́|Нейпідо́
Палесці́на|Палесты́на
По́лацк|По́лацак
Сі́львіа|Сі́львіё
То́кіа|То́кіо
Ху́ліа|Ху́ліё
Хэлаўі́н|Хэло́ўін
Шаўля́й|Шаўлі́
Шэ́рашава|Шарашэ́ва
Эфіо́пія|Эфіё́пія
Юпі́тэр|Юпі́цер
а́б|аба
а́д|ада
а́жыа|а́жыо
а́нгел|а́нгіл
а́нгел|анел
а́нгстрэм|ангстрэ́м
абʼе́зны|абʼязны́
абавязко́ва|абавя́зкава
абагу́льніць|абагульні́ць
аббудава́ны|аббудо́ваны
абгаблява́ны|абгаблё́ваны
абджы́гаць|абджыга́ць
абджы́нджарыць|абджынджа́рыць
абе́дзве|абе́дзві
абзе́тцар|абзе́тцэр
абка́м|абко́м
абка́маўскі|абко́маўскі
абкапа́ны|абко́паны
абкру́чаны|акру́чаны
абку́раны|аку́раны
абку́саны|абкуса́ны
аблама́ны|абло́маны
аблваенка́м|аблваенко́м
аблвыканка́м|аблвыканко́м
аблвыканка́маўскі|аблвыканко́маўскі
аблу́зганы|аблузга́ны
аблу́згаць|аблузга́ць
аблуза́ны|аблу́заны
аблы́ганы|аблыга́ны
аблямава́ны|аблямо́ваны
аблісце́ласць|аблі́сцеласць
аблісце́нне|аблі́сценне
абліцава́ны|абліцо́ваны
абману́ты|абма́нуты
абмата́ны|абмо́таны
абмежава́ны|абмяжо́ваны
абмеркава́ны|абмярко́ваны
абмурава́ны|абмуро́ваны
абмы́ты|амы́ты
абмяша́ны|абме́шаны
або́два|або́двы
абогатвара́цца|абагатвара́цца
абпілава́ны|абпіло́ваны
абрубны́|абру́бны
абсарбава́ны|абсарбі́раваны
абсві́станы|абсвіста́ны
абсмяя́ны|абсме́яны
абсорбцыяме́тр|абсо́рбцыяметр
абстраля́ны|абстрэ́ляны
абстру́ганы|абструга́ны
абсцэдзі́раваны|абсцэдзірава́ны
абсячы́|абсе́кчы
абсячы́|абсякчы́
абсячы́ся|абсе́кчыся
абтынкава́ны|абтынко́ваны
абфусцы́раваны|абфусцырава́ны
абця́жліва|абцяжлі́ва
абця́жлівы|абцяжлі́вы
абчапля́ны|абчэ́плены
абчаса́ны|абчэ́саны
абшалё́ваны|абшалява́ны
абшліфава́ны|абшліфо́ваны
абшмальцава́ны|абшмальцо́ваны
абшчы́паны|абшчыпа́ны
абы-я́к|абыя́к
абы́граны|абыгра́ны
абысці́|абыйсці́
абысці́ся|абыйсці́ся
аванпо́сны|аванпо́стны
агаблява́ны|агаблё́ваны
агаро́джа|агаро́жа
агра́фія|аграфі́я
аграма́дзіцца|аграмадзі́цца
аграма́дзіць|аграмадзі́ць
агу́чыць|агучы́ць
агітпра́п|агітпро́п
ада́жыа|ада́жыо
адамкнё́ны|адамкну́ты
адара́ны|адво́раны
адаткну́ты|адаткнё́ны
адбракава́ны|адбрако́ваны
адбудава́ны|адбудо́ваны
адваява́ны|адваё́ваны
адве́рнуты|адве́рнены
адгаблява́ны|адгаблё́ваны
адгадава́ны|адгадо́ваны
адгалінава́ны|адгаліно́ваны
адглянцава́ны|адглянцо́ваны
адграні́ць|адгра́ніць
аддзяўба́ны|аддзё́ўбаны
аддзяўба́ны|аддзё́ўбены
аддрукава́ны|аддруко́ваны
аджава́ны|аджо́ваны
адка́заны|адказа́ны
адкамандзірава́ны|адкамандзіро́ваны
адкапа́ны|адко́паны
адкаркава́ны|адкарко́ваны
адкарэкці́раваны|адкарэктава́ны
адкляпа́ны|адклё́паны
адко́ваны|адкава́ны
адко́ланы|адко́латы
адку́пшчык|адкупшчы́к
адлакірава́ны|адлакава́ны
адлама́ны|адло́маны
адлама́ны|адло́млены
адлупцава́ны|адлупцо́ваны
адлушчы́цца|адлу́шчыцца
адмабілізава́ны|адмабілізо́ваны
адмата́ны|адмо́таны
адмацава́ны|адмацо́ваны
адмежава́ны|адмяжо́ваны
адмо́латы|адме́лены
адмыка́ць|адмыка́ці
адна́к|адна́ка
адна́к|адна́ча
аднашпі́ндальны|аднашпі́ндэльны
аднікелірава́ны|аднікелява́ны
аднікелірава́ны|аднікеліро́ваны
адпа́свены|адпа́шчаны
адпампава́ны|адпампо́ваны
адпая́ны|адпа́яны
адплы́сці|адплы́ць
адпрасава́ны|адпрасо́ваны
адпужа́ны|адпу́жаны
адпіхну́ты|адпі́хнуты
адратава́ны|адрато́ваны
адрэкамендава́ны|адрэкамендо́ваны
адрэпеці́раваны|адрэпетава́ны
адстыкава́ны|адстыко́ваны
адсцяба́ны|адсцё́баны
адсячы́|адсе́кчы
адсячы́ся|адсе́кчыся
адтапта́ны|адто́птаны
адтулі́ць|адту́ліць
адтынкава́ны|адтынко́ваны
адтэрмінава́ны|адтэрміно́ваны
адукава́ны|адуко́ваны
адфрэзерава́ны|адфрэзеро́ваны
адфільтрава́ны|адфільтро́ваны
адхіну́ты|адхі́нены
адхіну́ты|адхі́нуты
адце́снены|адцяснё́ны
адчаса́ны|адчэ́саны
адчы́ркнуць|адчыркну́ць
адчы́таны|адчыта́ны
адшліфава́ны|адшліфо́ваны
адштампава́ны|адштампо́ваны
адштукава́ны|адштуко́ваны
адшчы́пнуты|адшчыпну́ты
ады́граны|адыгра́ны
адысці́|адыйсці́
адысці́ся|адыйсці́ся
адыхо́дная|адхо́дная
ажно́|а́жна
ажно́|анно́
азааспермі́я|азааспе́рмія
азбестабі́тумны|азбестабіту́мны
азелянё́ны|азяле́нены
азні́бець|азнібе́ць
азотаба́ктар|азотаба́ктэр
азотабактары́н|азотабактэры́н
айкані́мія|айканімі́я
акава́ны|ако́ваны
акальцава́ны|акальцо́ваны
акамадзі́равацца|акамадава́цца
акамадзі́раваць|акамадава́ць
акантава́ны|аканто́ваны
акапа́ны|ако́паны
акары́на|ака́рына
акваметры́я|акваме́трыя
акру́жаны|абкру́жаны
акрылі́цца|акры́ліцца
акрылі́ць|акры́ліць
акрэдытава́ны|акрэдыто́ваны
аксідава́ны|аксідзі́раваны
акта́эдр|актаэ́др
актывава́ны|актыві́раваны
аку́стаэлектронны|акустаэлектро́нны
акулі́раваны|акулірава́ны
акулі́раваны|акуліро́ваны
акулі́раваць|акулірава́ць
акулірава́нне|акулі́раванне
акулірава́цца|акулі́равацца
акумулява́нне|акумулі́раванне
акумулява́цца|акумулі́равацца
акумулява́ць|акумулі́раваць
акумулі́раваны|акумулява́ны
акупава́ны|акупі́раваны
акупава́цца|акупі́равацца
акцыянава́ць|акцыяні́раваць
акцэптава́ны|акцэпто́ваны
акіркава́ны|акірко́ваны
але́|а́ле
аленянё́|аленяня́
алкаліме́трыя|алкаліметры́я
алітара́цыя|алітэра́цыя
алітарацы́йны|алітэрацы́йны
амнісці́раваны|амністава́ны
амі́н|а́ман
амі́н|амі́нь
анатамава́цца|анатамі́равацца
анатамава́ць|анатамі́раваць
анатамі́раваны|анатамава́ны
ангажава́цца|ангажы́равацца
ангажава́ць|ангажы́раваць
ангажы́раваны|ангажава́ны
андэгра́ўнд|андэгра́унд
анексі́раваны|анексава́ны
анестэзава́цца|анестэзі́равацца
анестэзава́ць|анестэзі́раваць
анестэзу́ючы|анестэзі́руючы
анестэзі́раваны|анестэзава́ны
анла́йнавы|онла́йнавы
анты́к|а́нтык
антысіме́трыя|антысіметры́я
анчо́ус|анчо́ўс
апартаме́нт|апарта́мент
апаўдня́|апаўдні́
аплява́ны|аплё́ваны
апо́вед|апо́вяд
апра́нуты|апра́нены
апрасава́ны|апрасо́ваны
апрацава́ны|апрацо́ваны
апраўда́ны|апра́ўданы
апублікава́ны|апубліко́ваны
апі́саны|апіса́ны
апілава́ны|апіло́ваны
ара́тай|арата́й
аргалі́|арга́лі
аргентаме́трыя|аргентаметры́я
аржа́ніца|аржані́ца
арлянё́|арляня́
арнітафа́ўна|арнітафа́уна
арпе́джыа|арпе́джыо
артапе́дыя|артапеды́я
асацыява́цца|асацыі́равацца
